feature,importance
lag_1,0.5679321
lag_2,0.3000079
time_sin,0.018949583
rolling_min_4,0.01831533
hour,0.011608486
rolling_max_4,0.010628389
time_of_day,0.008839608
lag_48,0.008389554
lag_336,0.0076699704
rolling_mean_4,0.0064203073
time_cos,0.0054784613
month_cos,0.0042577893
solar_radiation,0.0038059643
temperature,0.0036773162
apparent_temperature,0.0035220482
rolling_max_48,0.0028985834
rolling_mean_48,0.0028717278
rolling_std_4,0.0028062921
is_weekend,0.001951652
day_of_week,0.0014519303
precipitation,0.0011104208
cloud_cover,0.0007646168
month,0.0007123104
rolling_min_48,0.00069524714
rolling_std_48,0.0006622405
day,0.0006541486
relative_humidity,0.0005803741
year,0.0005640868
day_of_week_sin,0.0005433117
wind_speed,0.0005187597
month_sin,0.00051429524
is_raining,0.0005016491
minute,0.00036820414
day_of_week_cos,0.0003273142
